arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2016-03-12,11:35 PM,N Hollywood,19,Male,Black,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1566,34.1497,-118.3694,2016,Mar,Sat,15-20
2016-03-17,04:09 AM,Southwest,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,303,34.0325,-118.3509,2016,Mar,Thu,15-20
2016-03-17,06:45 PM,Hollywood,20,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,678,34.0835,-118.3078,2016,Mar,Thu,15-20
2016-03-17,12:38 AM,Mission,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1911,34.31,-118.4808,2016,Mar,Thu,15-20
2016-03-18,10:50 PM,Rampart,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,204,34.0875,-118.2758,2016,Mar,Fri,15-20
2016-03-20,01:26 AM,Mission,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1955,34.262,-118.4472,2016,Mar,Sun,15-20
2016-03-23,10:10 PM,Harbor,19,Male,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,514,33.7986,-118.2753,2016,Mar,Wed,15-20
2016-03-18,06:10 PM,Topanga,20,Male,White,Driving Under Influence,DRUNK DRIVING .10 OR ABOVE,Misdemeanor,2144,34.1937,-118.6185,2016,Mar,Fri,15-20
2016-03-20,02:56 AM,Pacific,18,Female,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1488,33.9599,-118.3805,2016,Mar,Sun,15-20
2016-03-21,12:30 AM,N Hollywood,17,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1549,34.1722,-118.373,2016,Mar,Mon,15-20
2016-03-26,02:15 AM,Van Nuys,20,Male,Hispanic,Driving Under Influence,DUI OF A DRUG CAUSING INJURY,Felony,989,34.148,-118.4312,2016,Mar,Sat,15-20
2016-03-27,01:39 AM,Van Nuys,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,962,34.157,-118.4749,2016,Mar,Sun,15-20
2016-03-26,12:40 AM,Northeast,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1162,34.0958,-118.2862,2016,Mar,Sat,15-20
2016-03-27,09:00 PM,Newton,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1383,33.9824,-118.2739,2016,Mar,Sun,15-20
2016-03-28,03:30 AM,Rampart,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,265,34.0539,-118.2756,2016,Mar,Mon,15-20
2016-03-27,10:55 PM,Pacific,19,Male,White,Driving Under Influence,DUI OF A DRUG CAUSING INJURY,Felony,1484,33.958,-118.4173,2016,Mar,Sun,15-20
2016-04-03,01:22 AM,Hollywood,20,Male,Black,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,626,34.1129,-118.328,2016,Apr,Sun,15-20
2016-04-02,12:30 AM,Southeast,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1801,33.96,-118.2915,2016,Apr,Sat,15-20
2016-04-04,11:15 PM,Devonshire,19,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1719,34.2791,-118.474,2016,Apr,Mon,15-20
2016-04-02,10:00 AM,Hollywood,20,Male,White,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,668,34.0981,-118.3092,2016,Apr,Sat,15-20
