arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2010-04-17,05:45 PM,Hollenbeck,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,416,34.0382,-118.2064,2010,Apr,Sat,15-20
2010-06-25,04:15 PM,Southwest,20,Male,White,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,399,34.0074,-118.2815,2010,Jun,Fri,15-20
2010-06-22,02:25 PM,Southwest,18,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,393,34.0039,-118.3323,2010,Jun,Tue,15-20
2010-05-08,09:35 PM,Hollenbeck,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,412,34.0838,-118.2166,2010,May,Sat,15-20
2010-07-17,09:45 PM,Hollenbeck,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,471,34.0368,-118.2232,2010,Jul,Sat,15-20
2010-05-08,09:30 PM,Hollenbeck,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,412,34.0838,-118.2166,2010,May,Sat,15-20
2010-04-21,03:10 PM,Harbor,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,525,33.7724,-118.2684,2010,Apr,Wed,15-20
2010-03-02,07:10 PM,Harbor,19,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,561,33.7334,-118.3119,2010,Mar,Tue,15-20
2010-05-06,06:30 PM,Harbor,20,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,585,33.7065,-118.2928,2010,May,Thu,15-20
2010-08-28,03:00 PM,Hollenbeck,18,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,429,34.0849,-118.1688,2010,Aug,Sat,15-20
2010-04-23,11:40 PM,Harbor,19,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,567,33.7306,-118.2814,2010,Apr,Fri,15-20
2010-01-05,12:15 AM,Harbor,20,Male,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,555,33.7476,-118.2967,2010,Jan,Tue,15-20
2010-05-06,06:30 PM,Harbor,20,Female,Hispanic,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,585,33.7065,-118.2928,2010,May,Thu,15-20
2010-03-19,11:55 PM,Harbor,19,Male,Black,Drunkeness,DRINKING IN PUBLIC,Misdemeanor,589,33.7096,-118.2862,2010,Mar,Fri,15-20
